('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> COX', 'C-Index', 0.8360835465099935, 9.969894647598267)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8200574738449105, 9.095503091812134)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> COX', 'C-Index', 0.8360835465099935, 9.833510160446167)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'CCA -> DBID -> COX', 'C-Index', 0.8410320432792343, 10.002387046813965)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'KNN -> RFE -> COX', 'C-Index', 0.8360835465099935, 10.041063785552979)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'KNN -> RFE -> COX', 'C-Index', 0.8360835465099935, 16.84303617477417)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'Median -> LASSO -> COX', 'C-Index', 0.8357462120147303, 13.470747232437134)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'CCA -> DBID -> COX', 'C-Index', 0.8410320432792343, 14.761558294296265)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'CCA -> DBID -> COX', 'C-Index', 0.8410320432792343, 10.086105585098267)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'CCA -> DBID -> COX', 'C-Index', 0.8410320432792343, 10.577815532684326)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'Mean -> RFE -> COX', 'C-Index', 0.8360835465099935, 9.91741418838501)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'MI -> LASSO -> COX', 'C-Index', 0.8335198043459927, 8.292055606842041)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> COX', 'C-Index', 0.8360835465099935, 13.713359117507935)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> COX', 'C-Index', 0.8360835465099935, 17.16952919960022)
('rotterdam_missing_50_MAR.csv', 'Learn2Clean', 'COX', 'CCA -> DBID -> COX', 'C-Index', 0.8410320432792343, 15.918999910354614)
('None', 'Custom', 'COX', 'Median -> IG -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8180936819172113)

('None', 'Custom', 'COX', 'Median -> IG -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8130811892748426)

('None', 'Custom', 'COX', 'Median -> IG -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8275438596491228)

('None', 'Custom', 'COX', 'Median -> IG -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.789768002308097)

('None', 'Custom', 'COX', 'Median -> IG -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.7980715711354117)

('None', 'Custom', 'COX', 'Median -> IG -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.7928255518217011)

