('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'Median -> LASSO -> COX', 'C-Index', 0.8327383127652995, 10.734123468399048)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'KNN -> RFE -> COX', 'C-Index', 0.8360835465099935, 11.067203044891357)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'KNN -> RFE -> COX', 'C-Index', 0.8360835465099935, 11.359668731689453)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> RFE -> COX', 'C-Index', 0.8488787123712035, 9.070117712020874)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> COX', 'C-Index', 0.8360835465099935, 10.149489641189575)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> COX', 'C-Index', 0.8360835465099935, 10.002199649810791)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> COX', 'C-Index', 0.8360835465099935, 9.050809383392334)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'KNN -> RFE -> COX', 'C-Index', 0.8360835465099935, 11.368328094482422)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 9.71159029006958)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> COX', 'C-Index', 0.8360835465099935, 10.239208698272705)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'Mean -> RFE -> COX', 'C-Index', 0.8360835465099935, 10.279203653335571)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> RFE -> COX', 'C-Index', 0.8488787123712035, 10.120212078094482)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> COX', 'C-Index', 0.8360835465099935, 10.114686727523804)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 9.076478958129883)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8332555589913698, 9.403963804244995)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 14.186799764633179)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 14.2728431224823)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 14.783785581588745)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 14.482209920883179)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 13.531259298324585)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 16.122172832489014)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 14.390230655670166)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 18.472280979156494)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 17.361818313598633)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 18.518805265426636)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 16.831199645996094)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 16.364428758621216)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 15.20137882232666)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> LASSO -> COX', 'C-Index', 0.8453992412508138, 16.204458236694336)
('rotterdam_missing_50_MCAR.csv', 'Learn2Clean', 'COX', 'CCA -> RFE -> DBT -> MUO -> COX', 'C-Index', 0.8461273270512526, 14.862108707427979)
('None', 'Custom', 'COX', 'Mean -> DBT -> MUO -> UC -> COX', 'C-Index', 'Quality Metric: ', 0.6599916877621189)

('None', 'Custom', 'COX', 'Mean -> DBT -> MUO -> RFE -> COX', 'C-Index', 'Quality Metric: ', 0.850001889144973)

