('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 15.417818307876587)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 14.936045169830322)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 15.029760122299194)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 16.417803049087524)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 20.937072038650513)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Median -> RFE -> DBT -> MUO -> COX', 'C-Index', 0.8350650495585697, 26.458879947662354)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> RFE -> DBT -> MUO -> COX', 'C-Index', 0.8350650495585697, 21.05850601196289)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'KNN -> RFE -> DBT -> MUO -> COX', 'C-Index', 0.8350650495585697, 26.99039053916931)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'MI -> RFE -> DBT -> MUO -> COX', 'C-Index', 0.8350650495585697, 32.053178548812866)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'MI -> RFE -> DBT -> MUO -> COX', 'C-Index', 0.8350650495585697, 27.667506217956543)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 24.77223825454712)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 24.180004835128784)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 26.92300248146057)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 17.46666646003723)
('rotterdam_missing_50_MNAR.csv', 'Learn2Clean', 'COX', 'Mean -> LASSO -> COX', 'C-Index', 0.8333623815815365, 15.199415683746338)
('None', 'Custom', 'COX', 'CCA -> DBT -> IG -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.8070049495598293)

('None', 'Custom', 'COX', 'CCA -> DBT -> IG -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.7939593270890576)

('None', 'Custom', 'COX', 'CCA -> DBT -> LASSO -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.8627158348131636)

('None', 'Custom', 'COX', 'CCA -> DBT -> LASSO -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.8459393481302923)

('None', 'Custom', 'COX', 'CCA -> DBT -> RFE -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.8321683605999924)

('None', 'Custom', 'COX', 'CCA -> DBT -> RFE -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.8218798198216603)

('None', 'Custom', 'COX', 'CCA -> DBT -> UC -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.614438105313535)

('None', 'Custom', 'COX', 'CCA -> DBT -> UC -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.6128004249103705)

('None', 'Custom', 'COX', 'CCA -> ED -> IG -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.8130850864207827)

('None', 'Custom', 'COX', 'CCA -> ED -> IG -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.7958395412250865)

('None', 'Custom', 'COX', 'CCA -> ED -> LASSO -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.838740391698984)

('None', 'Custom', 'COX', 'CCA -> ED -> LASSO -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.8333623815815365)

